time,time_ms,latitude,longitude,elevation,airspeed,pressure_diff,temp,satellites,lat_smooth,lon_smooth,ground_speed_mps,track_deg
22:34:44,143522,34.01914215,-118.44738007,55.1,16.32,163.18,42.03,7,34.01914138866667,-118.44729309066666,0.6119174927258886,337.4762367228117
22:34:44,143725,34.01914215,-118.44738007,55.1,20.35,253.65,41.09,7,34.019141897333334,-118.44730326333334,0.6119174928354821,337.47623765888443
22:34:44,143928,34.01914215,-118.44738007,55.1,13.31,108.47,41.09,7,34.019142406,-118.447313436,0.7267520072423355,331.0656599102067
22:34:44,144135,34.01914215,-118.44738007,55.1,13.59,113.2,41.09,7,34.019142914666666,-118.44732360866666,0.6119174938458598,337.4762366068413
22:34:45,144378,34.01914215,-118.44743347,54.8,11.91,86.9,41.09,7,34.01914342333333,-118.44733734133334,0.6119174927258886,337.4762367228117
22:34:45,144607,34.01914215,-118.44743347,54.8,17.83,194.74,41.09,7,34.01914342333333,-118.44734802266666,0.6119174928354821,337.47623765888443
22:34:45,144808,34.01914215,-118.44743347,54.8,20.54,258.39,41.09,7,34.01914342333333,-118.447358704,0.7627624940211315,346.67448612725923
22:34:45,145009,34.01914215,-118.44743347,54.8,18.7,214.2,41.09,7,34.01914342333333,-118.44736938533333,0.7627625012016054,346.67448577056405
22:34:46,145215,34.01913071,-118.44748688,54.8,15.37,144.76,41.09,7,34.01914266066667,-118.44738362733332,1.1019635819829792,320.34617532405673
22:34:46,145451,34.01913071,-118.44748688,54.9,20.07,246.82,41.09,7,34.019141643333334,-118.44739430866666,1.101963578014426,320.34617568532013
22:34:46,145667,34.01913071,-118.44748688,54.9,24.56,369.38,41.09,7,34.019140625999995,-118.44740499000001,1.101963568889674,320.3461764535408
22:34:46,145869,34.01913071,-118.44748688,54.9,20.64,261.02,41.09,7,34.01913960866666,-118.44741567133335,0.7627624940211315,346.67448612725923
