time,latitude,longitude,elevation,airspeed,temp,satellites
08:18:44,34.07098389,-118.45026398,161.60,,27.98,5
08:18:45,34.07098770,-118.45026398,162.40,,27.51,5
08:18:46,34.07100296,-118.45028687,161.40,,27.51,5
08:18:47,34.07101059,-118.45029449,160.60,,27.98,5
08:18:48,34.07102203,-118.45030975,160.00,,27.98,5
08:18:49,34.07102585,-118.45030975,159.60,,27.98,5
08:18:50,34.07102585,-118.45031738,160.60,,27.98,5
08:18:51,34.07105255,-118.45030975,161.90,,27.98,5
08:18:52,34.07105637,-118.45030212,159.90,,27.98,5
08:18:53,34.07106781,-118.45027924,159.70,,27.98,5
08:18:54,34.07108688,-118.45025635,158.10,,27.51,5
